# Episode,Reward,Timestep
1241,256.31,276376
1242,459.94,276552
1243,300.79,276648
1244,536.17,276952
1245,551.69,277064
1246,717.99,277088
1247,421.05,277344
1248,480.19,277736
1249,235.28,277816
1250,511.89,278184
1251,597.66,278344
1252,569.99,278560
1253,348.17,278768
1254,420.02,278856
1255,459.27,279072
1256,444.60,279424
1257,523.01,279704
1258,651.28,279744
1259,494.75,280120
1260,435.65,280352
1261,443.55,280360
1262,521.69,280800
1263,430.79,281000
1264,452.81,281136
1265,427.42,281288
1266,458.28,281528
1267,467.34,282024
1268,485.61,282048
1269,557.04,282368
1270,512.85,282520
1271,415.46,282704
1272,410.57,283112
1273,482.25,283144
1274,404.00,283448
1275,397.76,283728
1276,650.88,284056
1277,502.00,284176
1278,479.92,284336
1279,343.23,284592
1280,409.02,284712
1281,460.51,284856
1282,441.37,284960
1283,352.97,285416
1284,467.20,285736
1285,511.19,285784
1286,516.62,286152
1287,418.22,286168
1288,484.78,286168
1289,249.04,286392
1290,427.90,286872
1291,442.85,287176
1292,498.08,287520
1293,408.52,287672
1294,535.44,287680
1295,468.55,288080
1296,493.04,288176
1297,530.66,288400
1298,448.63,288568
1299,519.17,288848
1300,211.48,289096
1301,359.42,289104
1302,506.33,289472
1303,519.08,289488
1304,537.68,290040
1305,753.46,290088
1306,377.04,290264
1307,513.05,290328
1308,527.77,290568
1309,492.29,291032
1310,444.86,291048
1311,474.03,291160
1312,414.88,291712
1313,486.54,292040
1314,480.47,292048
1315,440.79,292136
1316,613.26,292272
1317,515.75,292664
1318,424.73,292728
1319,410.12,292872
1320,324.52,293456
1321,442.05,293600
1322,357.46,293712
1323,482.30,294008
1324,477.86,294064
1325,530.65,294312
1326,535.21,294704
1327,450.15,294736
1328,425.62,295032
1329,549.86,295576
1330,527.69,295608
1331,342.65,295768
1332,363.15,295872
1333,508.48,295904
1334,532.37,296584
1335,439.55,296712
1336,469.93,296904
1337,483.20,297320
1338,499.24,297464
1339,356.72,297480
1340,498.23,297584
1341,166.50,297864
1342,664.63,297880
1343,367.50,298152
1344,358.83,298376
1345,459.21,298960
1346,493.05,299144
1347,506.10,299192
1348,494.73,299344
1349,547.65,299704
1350,386.19,299800
1351,467.05,299832
1352,531.89,300288
1353,272.58,300336
1354,309.33,300776
1355,442.56,300840
1356,488.38,301008
1357,522.52,301280
1358,566.75,301488
1359,504.00,301520
1360,275.54,302096
1361,382.44,302168
1362,436.13,302296
1363,361.06,302408
1364,376.03,302888
1365,441.35,303016
1366,455.56,303152
1367,391.74,303296
1368,356.09,303704
1369,504.53,303960
1370,465.07,304096
1371,563.36,304344
1372,258.88,304512
1373,480.29,304584
1374,476.63,304760
1375,466.74,304888
1376,458.75,305712
1377,543.71,305768
1378,490.09,305792
1379,509.62,305904
1380,515.36,306232
1381,390.77,306256
1382,428.17,306576
1383,483.82,306576
1384,413.65,307296
1385,544.39,307672
1386,512.20,307720
1387,418.07,307800
1388,445.52,307824
1389,392.28,308264
1390,512.67,308264
1391,682.14,308584
1392,390.86,309304
1393,523.23,309336
1394,440.32,309352
1395,382.23,309384
1396,481.22,309464
1397,358.30,309728
1398,513.43,310032
1399,240.29,310216
1400,215.28,310376
1401,509.77,310408
1402,495.47,310872
1403,461.19,311120
1404,522.51,311320
1405,464.32,311392
1406,512.79,311480
1407,291.97,311808
1408,450.88,311968
1409,392.41,312008
1410,455.45,312800
1411,471.59,312880
1412,479.65,313216
1413,516.35,313240
1414,429.68,313384
1415,497.71,313504
1416,493.49,313800
1417,664.86,313976
1418,400.71,314480
1419,357.77,314504
1420,431.17,314592
1421,424.33,314840
1422,378.97,315024
1423,775.63,315224
1424,242.18,315736
1425,554.10,315776
1426,676.55,315808
1427,554.93,316224
1428,481.83,316296
1429,436.10,316616
1430,488.16,316704
1431,528.67,316800
1432,542.26,317624
1433,336.90,317704
1434,379.95,317712
1435,476.48,317744
1436,562.61,317816
1437,496.39,318104
1438,450.31,318248
1439,464.36,318808
1440,472.28,319280
1441,478.42,319560
1442,531.62,319568
1443,461.55,319632
1444,483.85,319752
1445,536.33,319864
1446,673.25,320112
1447,472.36,320552
1448,311.06,321000
1449,435.78,321120
1450,390.17,321136
1451,493.38,321320
1452,409.21,321456
1453,346.93,321560
1454,413.32,321648
1455,525.22,321976
1456,550.01,322776
1457,426.64,322872
1458,466.86,322904
1459,363.19,322992
1460,480.49,323088
1461,470.85,323120
1462,533.04,323328
1463,490.23,323656
1464,390.21,324432
1465,510.25,324472
1466,417.42,324608
1467,285.54,324664
1468,523.43,324888
1469,282.97,325128
1470,737.30,325336
1471,478.25,325664
1472,474.62,326144
1473,533.42,326248
1474,501.87,326296
1475,557.18,326440
1476,312.49,326632
1477,486.68,326896
1478,505.24,327080
1479,328.24,327256
1480,448.09,327896
1481,412.79,327928
1482,435.10,328016
1483,469.02,328120
1484,546.72,328232
1485,341.01,328624
1486,494.92,328824
1487,483.18,328904
1488,489.70,329648
1489,462.91,329848
1490,452.96,329896
1491,530.16,329912
1492,336.91,329920
